19
805 963
511 798 -264
435 560 569
207 73 555
710 660 -806
546 555 -635
720 230 379
466 159 980
623 97 680
389 137 -444
3 660 -268
249 442 767
732 318 -622
744 393 -734
717 350 -751
114 236 423
267 292 500
134 430 1000
716 482 -299
33 359 279
26 13 477
599 116 889
617 229 -435
647 532 -441
668 156 -51
276 299 -336
396 699 -493
729 380 -379
564 35 -126
323 451 -477
695 666 -106
587 418 820
422 53 43
549 336 591
168 90 -910
275 128 -643
227 78 -156
611 297 98
274 599 836
173 299 -478
602 200 -472
138 328 -245
444 234 -223
168 615 973
648 652 -23
285 629 -626
708 395 262
506 145 70
286 705 304
529 627 -162
418 358 -960
541 56 451
424 169 -754
210 414 -889
73 129 -438
244 266 -476
523 570 450
126 18 -404
353 723 952
759 253 210
345 659 -709
440 734 351
452 75 676
720 633 -322
540 777 273
107 300 55
625 478 204
776 398 -958
49 235 -519
737 672 77
800 584 1000
130 429 300
273 596 317
800 523 648
788 658 915
488 144 -241
96 592 995
273 153 10
172 74 108
616 576 716
762 344 -463
491 401 -602
320 437 386
459 80 -416
453 314 -336
81 798 -727
628 191 -290
108 662 -325
542 25 61
525 791 -476
179 169 103
590 733 -438
55 105 862
27 209 -286
151 529 -543
394 648 -446
660 109 -591
266 220 50
382 592 -280
242 461 293
698 324 -508
209 804 -863
441 337 -5
795 307 -234
26 232 690
366 286 -277
93 588 182
637 653 -751
79 3 226
675 432 190
119 711 845
129 733 -44
147 214 103
29 290 -924
800 7 24
257 727 918
230 689 -545
416 192 -663
639 60 346
420 340 465
659 311 889
212 338 -164
34 567 338
329 13 134
389 345 277
158 543 -616
43 644 -169
751 723 663
316 331 -36
239 775 817
161 7 -696
493 150 901
624 436 713
747 83 -642
503 377 477
720 513 -931
518 652 -940
259 163 -482
61 537 -685
399 501 -965
740 204 -614
760 321 697
28 227 873
84 324 458
648 638 -404
570 388 -48
423 223 633
463 535 -726
457 499 -362
327 558 -507
542 19 630
700 49 -321
116 265 657
640 741 -722
56 598 -510
257 589 699
97 190 321
212 683 287
597 674 -100
190 423 -67
39 473 710
633 160 571
553 495 -509
78 599 -65
215 155 -969
461 381 -783
795 592 -467
665 295 992
215 600 -210
118 510 -371
118 12 813
222 560 -642
722 792 915
731 539 725
796 20 293
626 348 -74
575 765 -887
384 625 488
627 296 528
16 358 -453
252 568 622
495 297 681
8 259 331
375 522 886
481 599 -379
716 332 -872
548 218 291
9 711 140
412 153 -807
62 258 971
338 56 318
796 475 -522
374 509 -855
420 628 935
128 182 536
403 651 518
749 709 295
725 303 -971
621 600 -490
380 495 475
309 515 -473
85 345 12
618 637 866
782 497 854
42 342 -263
722 211 802
94 468 512
403 700 -262
207 206 229
515 532 612
77 784 954
298 13 -552
503 70 -353
623 377 -137
450 277 447
507 616 -279
707 432 896
512 582 593
671 12 619
609 294 -794
309 8 -17
334 420 54
571 668 946
658 121 -997
45 257 -637
23 333 631
610 151 924
550 502 190
46 180 -395
669 582 362
710 12 297
754 233 919
31 240 860
131 187 -858
532 480 -770
36 772 127
630 584 134
533 421 -705
726 200 -435
346 83 165
60 500 -186
364 436 943
82 244 289
685 220 -199
673 518 -379
552 564 326
385 727 -248
87 515 -404
778 752 765
346 779 -774
79 460 -843
48 585 786
604 636 -874
159 56 -388
779 568 903
244 3 -520
539 153 140
344 290 357
700 294 888
58 540 273
138 774 -414
784 49 58
246 462 362
438 138 -984
452 268 978
743 685 -77
193 301 -225
281 644 140
538 489 -319
753 358 -390
555 343 121
650 370 168
420 100 -545
270 650 -640
466 713 -56
434 503 -547
491 441 599
2 232 -749
428 342 -549
738 325 -573
544 346 -79
659 660 -349
375 578 320
776 292 -625
261 387 -640
289 660 -950
171 107 506
498 712 -692
528 475 274
65 294 722
717 796 56
615 644 -720
235 324 -470
462 783 -927
607 455 163
94 271 -491
151 754 -621
129 607 708
662 418 500
573 405 472
237 590 808
659 530 788
128 632 -558
701 477 -763
738 734 -330
162 254 -232
435 521 -647
638 71 -648
313 256 793
780 108 989
507 210 -294
285 185 -727
9 407 -806
425 57 40
184 12 956
450 86 237
552 665 -267
646 294 -209
182 236 450
257 272 478
534 11 -454
541 373 935
751 323 702
156 493 -76
427 241 -877
600 620 37
405 759 -82
482 378 -338
518 578 -598
282 787 861
98 205 -366
343 172 551
334 164 475
331 692 906
504 591 -289
767 160 -324
261 450 -551
800 251 598
345 776 463
282 126 -834
468 655 394
368 652 854
305 306 -453
676 148 457
171 385 -712
475 597 -305
64 676 992
59 4 764
98 453 -403
799 206 187
241 711 -301
393 339 -320
220 453 63
292 274 -500
664 438 -286
640 299 878
239 111 117
774 366 530
764 306 873
316 285 379
649 19 -698
131 174 653
640 655 -552
349 58 112
357 733 -490
599 768 -6
364 107 879
122 487 893
113 22 693
90 16 907
422 97 -802
532 597 -250
274 457 -978
412 431 -314
355 210 -391
396 471 438
171 734 469
706 55 640
259 377 -70
224 498 685
380 233 401
513 398 -504
382 155 -265
174 583 -398
313 479 -436
136 611 -965
31 83 -699
781 332 -4
278 782 -65
74 660 573
585 49 -553
528 345 152
1 18 -489
189 540 884
429 263 -54
2 633 -876
450 440 831
631 359 -679
426 8 -815
371 802 -72
522 14 710
554 683 536
258 41 61
458 251 606
256 244 465
716 379 391
239 644 143
420 306 241
737 33 34
597 454 -855
767 630 -681
585 117 945
666 194 -196
290 664 -303
505 177 806
126 76 344
179 780 400
586 222 251
4 503 635
1 164 -584
370 551 -935
298 92 954
556 268 -407
128 735 235
705 610 -758
295 291 -787
18 452 446
120 454 937
562 670 476
206 290 357
763 250 259
329 579 121
749 488 -485
147 726 -622
400 360 -995
39 155 -910
523 190 -477
742 50 237
528 799 647
129 528 24
634 662 -65
37 729 -806
699 154 103
226 118 443
78 149 277
245 210 730
570 469 685
479 600 538
629 100 -662
670 186 892
210 369 -370
441 234 -993
483 572 -912
10 223 987
102 81 626
720 352 -434
243 385 664
290 692 519
118 645 -790
410 80 111
314 148 985
429 189 -962
267 329 -998
46 637 -727
544 348 -323
17 275 -896
717 33 -983
737 91 43
2 517 435
513 135 -805
372 456 -948
422 27 190
159 399 -691
407 574 -98
464 511 -603
456 684 -639
673 241 -120
494 669 86
614 475 -522
733 76 -158
523 186 -931
633 159 606
565 420 -315
339 81 -167
715 792 -913
266 568 43
673 99 -813
541 134 426
619 583 679
281 786 -713
263 579 -326
446 524 -2
365 788 -549
700 471 -251
660 195 139
207 407 708
612 660 -19
684 652 -104
200 756 390
561 501 -335
631 799 955
430 2 62
542 631 -804
381 797 770
693 344 62
598 579 -772
737 711 81
194 488 -516
482 805 -915
792 400 364
727 5 969
365 679 -193
128 639 -435
160 93 739
805 243 -26
681 360 390
50 746 -878
760 394 401
565 79 104
285 473 819
162 596 617
145 758 -690
145 656 -301
51 347 -855
226 790 768
406 24 -145
348 724 386
597 667 714
578 622 759
253 705 -44
480 404 -55
516 266 829
211 344 605
609 581 -821
679 66 -122
216 56 -44
713 173 -160
351 301 771
271 714 -130
35 608 -329
221 787 -795
502 11 36
226 709 -880
274 434 -902
609 18 -432
153 209 -281
554 81 -259
576 124 -188
525 804 486
188 770 -386
230 278 -813
74 602 589
734 495 -148
588 108 507
627 418 55
24 652 -908
365 156 27
399 797 224
168 738 -401
602 25 107
104 341 606
66 102 150
763 418 642
182 539 941
788 64 123
613 620 513
164 3 -319
342 799 280
224 118 -998
616 374 -84
265 457 344
515 797 -685
663 436 -969
716 423 956
524 142 -230
304 102 -89
545 278 -677
535 173 897
67 573 286
156 518 -648
659 396 -609
285 674 964
331 599 -869
627 633 -742
187 631 527
300 35 -489
553 761 425
273 89 566
688 211 -476
413 617 -28
121 347 463
440 120 184
552 22 99
646 93 -142
458 690 456
183 589 -899
255 130 817
523 645 686
412 801 -256
198 135 -625
254 510 -477
314 64 755
138 360 -539
42 18 711
763 234 -489
364 465 -123
611 499 -212
79 52 519
348 328 -122
160 635 -306
535 107 620
484 470 -886
313 392 80
199 728 -550
741 9 94
586 498 -394
735 296 -463
677 705 -900
498 511 -675
282 330 -284
84 588 -830
634 574 -466
389 372 45
720 792 -39
595 431 344
34 352 -622
736 506 -93
765 466 245
681 504 -967
182 647 582
745 50 -497
183 694 604
577 85 502
201 407 385
504 231 -129
449 786 -280
571 195 990
443 208 763
693 703 -915
108 721 -446
166 645 -810
793 343 236
186 127 -6
37 508 433
147 126 -340
350 519 829
341 572 -582
492 569 51
678 637 776
641 571 -452
40 683 -990
467 633 -893
614 743 -187
506 498 867
350 751 898
420 595 851
783 245 620
161 553 -773
